#,"ML #",St,"Current Price","List Price","Sale Price",Address,"Zip Code","Owner Zip Code","Beds Total","Baths Total","Sq Ft Total",Type,"Assessed Value","Basement Description","Additional Exterior Features","Additional Interior Features","Additional Rooms","Additional Structures","Attic Description","Change Date","Chng Info",City,"City Village Tax","Close Date","Closed Date Received","Chng Type","Contract Date",DOM,"Driveway Description","Expiration Date","Floor Description","Garage Description","Heating Fuel Description","Furnished YN","List Date","Listing Type","Lot Dimensions Depth","Lot Dimensions Frontage","Lot Information",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country
1,B463811,S,"$75,900","$78,900","$75,900","1331 Sumner RD",14013,14013,4,2.0,"1,632",RES,"$101,500","Crawl Space, Partial",,"Circuit Breakers - Some, Copper Plumbing - Some","1st Floor Bedroom, Florida/Sun Room- Heated, Living Room",Shed,"Crawl Space",,NEW,Alabama,$0,02/03/2015,02/04/2015,,11/28/2014,30,Stone/Gravel,,"Linoleum/Vinyl, Wood-Some",Detached,Oil,,10/29/2014,"Exclusive Right To Sell",435,90,"Neighborhood Street, Wooded Lot",43.066493,-78.392213,0.6,range_interpolation,1331,"Sumner Rd",Basom,NY,"Genesee County",14013,"Genesee County"
1,B479631,S,"$51,834","$48,900","$51,834","366 W Park ST",14411,14411,3,2.0,"1,960",RES,"$77,200","Exterior Walkout, Full","Cable TV Available, Deck, Garage Door Opener, High Speed Internet, Partially Fenced Yard, Storage","Sump Pump","Family Room, Foyer/Entry Hall, Laundry-1st Floor, Living Room, Workshop","Barn / Outbuilding, Shed","Crawl Space",,NEW,Albion,"$1,301",10/12/2015,10/19/2015,,07/13/2015,6,"Blacktop, Double Wide",,"Hardwood-Some, Linoleum/Vinyl, Wall To Wall Carpet-Some",Detached,Gas,,07/07/2015,"Exclusive Right To Sell",198,66,"Neighborhood Street",43.244846,-78.20378,1,range_interpolation,366,"W Park St",Albion,NY,"Orleans County",14411,"Orleans County"
1,B477160,S,"$12,500","$12,500","$12,500","59 North ST",14411,14411,3,2.0,"1,440",RES,$0,None,"Cable TV Available, High Speed Internet, Satellite Dish, Thermal Windows - Some","Cathedral Ceiling, Ceiling Fan, Circuit Breakers - Some, Copper Plumbing - Some, Drapes - Some","1st Floor Bedroom, 1st Floor Master Bedroom, Foyer/Entry Hall, Laundry-1st Floor, Living Room, Master Bedroom Bath",Shed,None,,NEW,Albion,,06/26/2015,07/13/2015,,06/26/2015,17,Concrete,,"Linoleum/Vinyl, Tile-Some, Wall To Wall Carpet-Some",Carport,Gas,,06/09/2015,"Exclusive Right To Sell",0,0,"Neighborhood Street",43.253892,-78.193827,1,range_interpolation,59,"North St",Albion,NY,"Orleans County",14411,"Orleans County"
1,B478025,S,"$290,000","$299,900","$290,000","3800 N Millgrove RD",14004,14004,3,2.1,"1,914",RES,"$119,600",Full,"Garage Door Opener","Cathedral Ceiling, Ceiling Fan, Sliding Glass Door, Sump Pump","Laundry-2nd Floor",,"Crawl Space",,NEW,Alden,$0,09/14/2015,10/02/2015,,07/13/2015,25,"Concrete, Stone/Gravel",,"Tile-Some, Wall To Wall Carpet-Some",Attached,Gas,,06/18/2015,"Exclusive Right To Sell",3,250,"Agricultural District, Green Area, Horses Permitted",42.950255,-78.553366,1,range_interpolation,3800,"N Millgrove Rd",Alden,NY,"Erie County",14004,"Erie County"
1,B485829,S,"$236,500","$219,900","$236,500","2475 Wende RD",14004,14004,3,2.0,"1,520",RES,"$97,750",Full,"Cable TV Available, Deck, Garage Door Opener, High Speed Internet, Private Yard - see Remarks, Storage","Cathedral Ceiling, Ceiling Fan, Circuit Breakers - Some, Copper Plumbing - Some, Sliding Glass Door, Sump Pump","1st Floor Bedroom, 1st Floor Master Bedroom, Basement / Rec Room, Bonus Room, Foyer/Entry Hall, Laundry-1st Floor, Master Bedroom Bath, Porch - Open",Shed,"Crawl Space",,NEW,Alden,$0,11/30/2015,11/30/2015,,09/25/2015,0,"Circular, Concrete",,"Hardwood-Some, Laminate-Some, Wall To Wall Carpet-Some",Attached,Gas,,09/25/2015,"Exclusive Right To Sell",169,593,"Primary Road",42.922355,-78.526228,1,range_interpolation,2475,"Wende Rd",Alden,NY,"Erie County",14004,"Erie County"
1,B480596,S,"$225,000","$239,000","$225,000","484 Creekside DR",14004,14004,3,1.1,"1,844",RES,"$86,950","Finished, Full","Cable TV Available, Deck, Garage Door Opener, High Speed Internet, Patio, Thermal Windows - Some","Cathedral Ceiling, Circuit Breakers - Some, Copper Plumbing - Some, Natural Woodwork - some, Sump Pump","1st Floor Bedroom, Basement / Rec Room, Family Room, Laundry-Basement, Living Room, Porch - Open",,Full,,NEW,Alden,$0,10/05/2015,10/13/2015,,08/17/2015,30,"Blacktop, Circular",,"Hardwood-Some, Linoleum/Vinyl, Wall To Wall Carpet-Some",Attached,"Electric, Gas",,07/18/2015,"Exclusive Right To Sell",240,125,"Corner Lot, Neighborhood Street",42.878849,-78.554978,1,range_interpolation,484,"Creekside Dr",Alden,NY,"Erie County",14004,"Erie County"
1,B481296,S,"$182,500","$184,900","$182,500","1258 E Laray DR",14004,14086,3,1.1,"1,512",RES,"$71,000",Full,"Cable TV Available, Garage Door Opener, Patio, Thermal Windows - Some","Circuit Breakers - Some, Copper Plumbing - Some, Sump Pump","Foyer/Entry Hall, Laundry-Basement, Living Room, Porch - Open",,None,,NEW,Alden,$0,10/08/2015,10/15/2015,,07/31/2015,4,Blacktop,,"Hardwood-Some, Linoleum/Vinyl",Attached,Gas,,07/27/2015,"Exclusive Right To Sell",200,100,"Neighborhood Street, Wooded Lot",42.892932,-78.569636,1,range_interpolation,1258,"E Laray Dr",Alden,NY,"Erie County",14004,"Erie County"
1,B470215,S,"$175,000","$170,000","$175,000","11567 Gebhard LN",14004,14004,3,1.1,"1,718",RES,"$80,200","Finished, Full","Cable TV Available, Garage Door Opener, Patio, Satellite Dish","Ceiling Fan, Circuit Breakers - Some, Copper Plumbing - Some, Drapes - Some, Natural Woodwork - some, Water Softener - Owned","Family Room, Florida/Sun Room- Heated, Living Room",Shed,"Crawl Space, Pull Down Stairs",,NEW,Alden,$0,05/15/2015,05/18/2015,,03/24/2015,6,Blacktop,,"Laminate-Some, Tile-Some, Wall To Wall Carpet-Some","2nd Garage, Attached",Gas,,03/18/2015,"Exclusive Right To Sell",400,150,"Neighborhood Street",42.885787,-78.556291,1,range_interpolation,11567,"Gebhard Ln",Alden,NY,"Erie County",14004,"Erie County"
1,B475279,S,"$170,000","$174,900","$170,000","217 Three Rod RD",14004,14004,3,1.1,"2,040",RES,"$55,000",Partial,"Cable TV Available, Partially Fenced Yard, Patio, Wood Screens/Storms-some","Cedar Closets, Ceiling Fan, Circuit Breakers - Some, Copper Plumbing - Some, Drapes - Some, Freestanding/Window AC, Natural Woodwork - some, Sliding Glass Door","1st Floor Bedroom, 1st Floor Master Bedroom, Family Room, Great Room, Laundry-1st Floor, Living Room, Office",Shed,"Partial, Stair Access",,NEW,Alden,$0,08/31/2015,09/28/2015,,06/09/2015,20,Blacktop,,"Linoleum/Vinyl, Wall To Wall Carpet-Some","Carport, Detached",Gas,,05/20/2015,"Exclusive Right To Sell",210,210,"Agricultural District, Flood Zone, Rural Road",42.871496,-78.517314,1,range_interpolation,217,"Three Rod Rd",Alden,NY,"Erie County",14004,"Erie County"
1,B466902,S,"$168,900","$169,900","$168,900","12113 Walden AVE",14004,14004,3,1.0,"2,256",RES,"$72,200",Full,"Cable TV Available, Deck, Garage Door Opener","Circuit Breakers - Some, Drapes - Some, Skylight, Sliding Glass Door, Sump Pump","1st Floor Bedroom, In-Law - see Remarks, Laundry-1st Floor, Living Room, Porch - Open",,"Scuttle Access",,NEW,Alden,$0,06/19/2015,06/23/2015,,02/03/2015,21,Stone/Gravel,,"Linoleum/Vinyl, Tile-Some, Wall To Wall Carpet-Some",Detached,Gas,,01/13/2015,"Exclusive Right To Sell",0,400,"Commercial Zoning",42.937501,-78.537899,1,range_interpolation,12113,"Walden Ave",Alden,NY,"Erie County",14004,"Erie County"
1,B486904,S,"$160,000","$159,000","$160,000","863 Townline RD",14086,,5,2.0,"1,568",RES,"$138,000",Full,"Cable TV Available, Deck, Garage Door Opener, Partially Fenced Yard, Playset / Swingset, Pool-In Ground","Circuit Breakers - Some, Copper Plumbing - Some, Drapes - Some",Den/Study,,"Crawl Space",,NEW,Alden,$0,12/17/2015,01/07/2016,,10/17/2015,10,Blacktop,,"Tile-Some, Wall To Wall Carpet-Some",Attached,"Gas, Wood",,10/07/2015,"Exclusive Right To Sell",244,100,"Agricultural District",42.88793,-78.57777,1,range_interpolation,863,"Town Line Rd",Lancaster,NY,"Erie County",14086,"Erie County"
1,B474533,S,"$158,000","$157,900","$158,000","11686 Boncliff DR",14004,14004,3,2.0,"1,432",RES,"$69,900","Finished, Full","Deck, Playset / Swingset","Ceiling Fan, Copper Plumbing - Some, Drapes - Some, Sliding Glass Door, Sump Pump","1st Floor Bedroom, Basement / Rec Room, Living Room",,"Crawl Space",,NEW,Alden,"$2,667",09/09/2015,09/11/2015,,05/20/2015,9,Blacktop,,"Hardwood-Some, Linoleum/Vinyl, Wall To Wall Carpet-Some",Attached,Gas,,05/11/2015,"Exclusive Right To Sell",200,100,"Other - See Remarks",42.886127,-78.549277,1,range_interpolation,11686,"Boncliff Dr",Alden,NY,"Erie County",14004,"Erie County"
1,B470620,S,"$157,500","$157,500","$157,500","3592 Crittenden RD",14004,14004,3,1.0,"1,286",RES,"$47,600",Full,"Cable TV Available, Deck, Hot Tub","Cathedral Ceiling, Ceiling Fan, Circuit Breakers - Some, Copper Plumbing - Some, Hot Tub, Sliding Glass Door","1st Floor Bedroom, 1st Floor Master Bedroom, Great Room, Laundry-Basement",,"Crawl Space",,NEW,Alden,$0,07/27/2015,08/07/2015,,04/20/2015,27,"Double Wide, Stone/Gravel",,"Hardwood-Some, Linoleum/Vinyl, Wall To Wall Carpet-Some","Under House",Gas,,03/24/2015,"Exclusive Right To Sell",198,199,"Primary Road",42.941567,-78.488784,1,range_interpolation,3592,"Crittenden Rd",Alden,NY,"Erie County",14004,"Erie County"
1,B473532,S,"$150,000","$144,900","$150,000","1699 Sandridge RD",14004,14004,3,1.0,"1,262",RES,"$140,000","Full, Partially Finished","Awning, Cable TV Available, Garage Door Opener, Patio","Cedar Closets, Copper Plumbing - Some, Drapes - Some, Natural Woodwork - some, Sump Pump","1st Floor Bedroom, 1st Floor Master Bedroom, Laundry-Basement, Living Room, Workshop",Shed,"Full, Stair Access, Unfinished",,NEW,Alden,$0,07/24/2015,07/28/2015,,05/11/2015,10,Blacktop,,"Ceramic-Some, Hardwood-Some, Tile-Some, Wall To Wall Carpet-Some",Detached,Gas,,05/01/2015,"Exclusive Right To Sell",700,80,"Neighborhood Street",42.904509,-78.523242,1,range_interpolation,1699,"Sandridge Rd",Alden,NY,"Erie County",14004,"Erie County"
1,B472364,S,"$149,000","$149,900","$149,000","668 Creekside DR",14004,14004,4,2.0,"1,728",RES,"$62,100","Exterior Walkout","Cable TV Available, Garage Door Opener, High Speed Internet, Storage, Thermal Windows - Some","Circuit Breakers - Some, Copper Plumbing - Some, Dry Bar, Natural Woodwork - some, Other - See Remarks, Sump Pump","Basement / Rec Room, Family Room, Foyer/Entry Hall, Laundry-Basement, Other - See Remarks, Porch - Enclosed, Porch - Open, Workshop","Barn / Outbuilding",Partial,,NEW,Alden,$0,08/14/2015,08/14/2015,,04/26/2015,8,Blacktop,,"Tile-Some, Wall To Wall Carpet-Some",Attached,Gas,,04/18/2015,"Exclusive Right To Sell",317,100,"Flood Zone, Near Bus Line, Neighborhood Street, Secondary Road, Water View",42.882689,-78.554512,1,range_interpolation,668,"Creekside Dr",Alden,NY,"Erie County",14004,"Erie County"
1,B468380,S,"$148,730","$139,900","$148,730","1527 Town Line RD",14004,14004,3,1.0,"1,852",RES,"$49,400",Full,"Cable TV Available, Deck, Garage Door Opener, Other - See Remarks, Patio, Storage","Circuit Breakers - Some, Copper Plumbing - Some, Drapes - Some, Natural Woodwork - some, Security System - Owned, Sliding Glass Door, Sump Pump","1st Floor Master Bedroom, Florida/Sun Room- Heated, Garage Apartment, Laundry-Basement, Other - See Remarks, Porch - Open, Workshop","Barn / Outbuilding, Shed","Crawl Space",,NEW,Alden,$0,05/26/2015,06/02/2015,,02/14/2015,4,Concrete,,"Ceramic-Some, Linoleum/Vinyl, Wall To Wall Carpet-Some",Detached,Gas,,02/10/2015,"Exclusive Right To Sell",565,87,"Secondary Road",42.900841,-78.578013,1,range_interpolation,1527,"Town Line Rd",Alden,NY,"Erie County",14004,"Erie County"
1,B478674,S,"$146,000","$149,900","$146,000","1183 Greenfield DR",14004,14004,3,1.1,"1,592",RES,"$74,500","Full, Partially Finished",Patio,"Cathedral Ceiling, Ceiling Fan, Circuit Breakers - Some, Sliding Glass Door","Basement / Rec Room, Family Room, Laundry-1st Floor, Living Room",Shed,"Crawl Space, Partial",,NEW,Alden,$0,08/30/2015,09/10/2015,,06/27/2015,2,Circular,,"Hardwood-Some, Linoleum/Vinyl",Attached,Gas,,06/25/2015,"Exclusive Right To Sell",198,207,"Corner Lot, Neighborhood Street",42.89268,-78.570088,1,range_interpolation,1183,"Greenfield Dr",Alden,NY,"Erie County",14004,"Erie County"
1,B480046,S,"$145,500","$139,900","$145,500","12260 S Blossom Lea DR",14004,14004,3,1.0,"1,252",RES,"$54,100",Finished,"Deck, Fully Fenced Yard, Garage Door Opener, High Speed Internet, Hot Tub, Patio, Storage","Other - See Remarks","1st Floor Bedroom, Basement / Rec Room, Bonus Room, Family Room, Laundry-Basement, Porch - Open, Possible Additional Bedroom",Shed,"Full, Pull Down Stairs",,NEW,Alden,$0,09/29/2015,09/29/2015,,07/16/2015,3,Blacktop,,"Linoleum/Vinyl, Wall To Wall Carpet-Some",Attached,Gas,,07/13/2015,"Exclusive Right To Sell",200,100,"Neighborhood Street, Primary Road",42.883504,-78.529288,1,range_interpolation,12260,"S Blossom Lea Dr",Alden,NY,"Erie County",14004,"Erie County"
1,B473145,S,"$140,500","$140,000","$140,500","12363 S Blossom Lea DR",14004,14004,4,1.0,"1,449",RES,"$48,400","Crawl Space","Fully Fenced Yard, Garage Door Opener","Ceiling Fan, Circuit Breakers - Some, Copper Plumbing - Some","1st Floor Bedroom, Foyer/Entry Hall, Laundry-1st Floor, Living Room, Porch - Open",Shed,"Partial, Unfinished",,NEW,Alden,$0,07/20/2015,08/20/2015,,04/30/2015,3,"Blacktop, Double Wide",,"Laminate-Some, Wall To Wall Carpet-Some",Attached,Gas,,04/27/2015,"Exclusive Right To Sell",385,100,"Neighborhood Street",42.883271,-78.529044,1,range_interpolation,12363,"S Blossom Lea Dr",Alden,NY,"Erie County",14004,"Erie County"
1,B477231,S,"$138,000","$142,000","$138,000","1048 Four Rod RD",14004,14004,3,1.0,"1,168",RES,"$141,474",Full,"Cable TV Available, Electric Pet Fence, Garage Door Opener, Patio","Copper Plumbing - Some, Electrical Fuses - some","1st Floor Bedroom, 1st Floor Master Bedroom, Laundry-Basement, Living Room",,"Crawl Space",,NEW,Alden,$0,09/25/2015,10/02/2015,,06/29/2015,20,"Double Wide, Stone/Gravel",,"Hardwood-Some, Laminate-Some, Linoleum/Vinyl",Attached,Gas,,06/09/2015,"Exclusive Right To Sell",300,150,"Agricultural District",42.853468,-78.537484,1,range_interpolation,1048,"Four Rod Rd",Alden,NY,"Erie County",14004,"Erie County"
1,B469575,S,"$136,900","$139,900","$136,900","2207 Townline RD",14004,14004,3,1.0,"1,344",RES,"$62,500","Full, Partially Finished","Garage Door Opener, Other - See Remarks","Ceiling Fan, Circuit Breakers - Some, Copper Plumbing - Some, Natural Woodwork - some","1st Floor Bedroom, Basement / Rec Room, Florida/Sun Room- Heated, Foyer/Entry Hall, Laundry-Basement, Living Room, Porch - Open",,"Crawl Space, Unfinished",,NEW,Alden,$0,05/29/2015,06/10/2015,,03/20/2015,11,"Dirt, Stone/Gravel",,"Ceramic-Some, Hardwood-Some, Wall To Wall Carpet-Some, Wood-Some",Attached,Gas,,03/09/2015,"Exclusive Right To Sell",333,100,"Neighborhood Street, Rural Road",42.914267,-78.578114,1,range_interpolation,2207,"Town Line Rd",Alden,NY,"Erie County",14004,"Erie County"
1,B469307,S,"$136,000","$139,900","$136,000","2133 Town Line RD",14004,14004,2,1.0,"1,150",RES,"$48,400",Full,"Garage Door Opener, Patio","Ceiling Fan, Circuit Breakers - Some, Sliding Glass Door, Sump Pump","Family Room, Living Room",Shed,None,,NEW,Alden,$0,05/21/2015,06/03/2015,,03/06/2015,3,Blacktop,,"Ceramic-Some, Laminate-Some",Attached,Gas,,03/03/2015,"Exclusive Right To Sell",300,96,"Other - See Remarks",42.912611,-78.57812,1,range_interpolation,2133,"Town Line Rd",Alden,NY,"Erie County",14004,"Erie County"
1,B466376,S,"$135,680","$129,900","$135,680","1078 Clearvue DR",14004,14004,4,1.0,"1,596",RES,"$54,200","Crawl Space","Deck, Garage Door Opener, High Speed Internet, Patio, Pool-Above Ground, Private Yard - see Remarks, Storage","Ceiling Fan, Circuit Breakers - Some","1st Floor Bedroom, Laundry-1st Floor","Barn / Outbuilding, Shed","Crawl Space",,NEW,Alden,$0,03/06/2015,03/06/2015,,01/15/2015,12,Concrete,,"Laminate-Some, Wall To Wall Carpet-Some","2nd Garage, Attached","Gas, Wood",,01/03/2015,"Exclusive Right To Sell",228,100,"Neighborhood Street, Primary Road",42.889864,-78.554178,1,range_interpolation,1078,"Clearvue Dr",Alden,NY,"Erie County",14004,"Erie County"
1,B480535,S,"$135,000","$129,900","$135,000","2206 County Line RD",14004,14004,3,1.1,"1,856",RES,"$64,800",Full,"High Speed Internet, Storage","Ceiling Fan, Circuit Breakers - Some, Copper Plumbing - Some, Sump Pump","Foyer/Entry Hall, Laundry-1st Floor, Porch - Open","Barn / Outbuilding","Crawl Space",,NEW,Alden,$0,10/15/2015,10/16/2015,,07/21/2015,4,Stone/Gravel,,Hardwood-Some,"No Garage",Gas,,07/17/2015,"Exclusive Right To Sell",0,215,"Primary Road",42.915393,-78.463961,1,range_interpolation,2206,"County Line Rd",Alden,NY,"Erie County",14004,"Erie County"
1,B478101,S,"$125,000","$119,900","$125,000","11085 Jane DR",14004,14086,3,1.0,"1,164",RES,"$57,000",Full,"Cable TV Available, High Speed Internet, Private Yard - see Remarks, Storage","Ceiling Fan, Circuit Breakers - Some, Copper Plumbing - Some, Sump Pump","1st Floor Bedroom, Basement / Rec Room, Laundry-Basement, Porch - Enclosed",,"Crawl Space",,NEW,Alden,$0,09/28/2015,09/28/2015,,07/17/2015,28,Blacktop,,"Hardwood-Some, Laminate-Some, Wall To Wall Carpet-Some",Attached,Gas,,06/19/2015,"Exclusive Right To Sell",205,110,"Neighborhood Street",42.89703,-78.574449,1,range_interpolation,11085,"Jane Dr",Alden,NY,"Erie County",14004,"Erie County"
1,B473422,S,"$123,000","$119,900","$123,000","2625 Peters Corners RD",14004,14004,3,1.0,"1,008",RES,"$59,800","Full, Partially Finished","Cable TV Available, Garage Door Opener, Patio, Private Yard - see Remarks, Storage","Ceiling Fan, Circuit Breakers - Some, Copper Plumbing - Some, Sliding Glass Door, Sump Pump","1st Floor Bedroom, Basement / Rec Room, Laundry-Basement",Shed,"Crawl Space",,NEW,Alden,$0,08/12/2015,08/12/2015,,05/04/2015,5,Blacktop,,"Ceramic-Some, Laminate-Some, Wall To Wall Carpet-Some",Attached,Gas,,04/29/2015,"Exclusive Right To Sell",310,100,"Primary Road",42.923612,-78.509279,1,range_interpolation,2625,"Peters Corners Rd",Alden,NY,"Erie County",14004,"Erie County"
