"#","ML #","St","Current Price","List Price","Sale Price","Address","Numof Acres","Numof Stories","Numof Possible Bedrooms","Numof Garage Spaces","Zip Code","Owner Zip Code","Beds Total","Baths Total","Sq Ft Total","Numof Rooms","Baths Half","Baths Full","Assessed Value","Age","Basement Description","Additional Exterior Features","Additional Interior Features","Additional Rooms","Additional Structures","Attic Description","Change Date","Chng Info","City","City Village Tax","Close Date","Closed Date Received","Chng Type","Contract Date","DOM","Driveway Description","Expiration Date","Floor Description","Garage Description","Heating Fuel Description","Furnished YN","List Date","Listing Type","Lot Dimensions Depth","Lot Dimensions Frontage","Lot Information"
"1","B463811","S","$75,900","$78,900","$75,900","1331 Sumner RD","0.90","2","","3.0","14013","14013","4","2.0","1,632","9","0","2","$101,500","114","Crawl Space, Partial","","Circuit Breakers - Some, Copper Plumbing - Some","1st Floor Bedroom, Florida/Sun Room- Heated, Living Room","Shed","Crawl Space","","NEW","Alabama","$0","02/03/2015","02/04/2015","","11/28/2014","30","Stone/Gravel","","Linoleum/Vinyl, Wood-Some","Detached","Oil","","10/29/2014","Exclusive Right To Sell","435","90","Neighborhood Street, Wooded Lot"
"1","B479631","S","$51,834","$48,900","$51,834","366 W Park ST","0.30","2","","1.0","14411","14411","3","2.0","1,960","8","0","2","$77,200","130","Exterior Walkout, Full","Cable TV Available, Deck, Garage Door Opener, High Speed Internet, Partially Fenced Yard, Storage","Sump Pump","Family Room, Foyer/Entry Hall, Laundry-1st Floor, Living Room, Workshop","Barn / Outbuilding, Shed","Crawl Space","","NEW","Albion","$1,301","10/12/2015","10/19/2015","","07/13/2015","6","Blacktop, Double Wide","","Hardwood-Some, Linoleum/Vinyl, Wall To Wall Carpet-Some","Detached","Gas","","07/07/2015","Exclusive Right To Sell","198","66","Neighborhood Street"
"1","B477160","S","$12,500","$12,500","$12,500","59 North ST","","0","","0.0","14411","14411","3","2.0","1,440","6","0","2","$0","36","None","Cable TV Available, High Speed Internet, Satellite Dish, Thermal Windows - Some","Cathedral Ceiling, Ceiling Fan, Circuit Breakers - Some, Copper Plumbing - Some, Drapes - Some","1st Floor Bedroom, 1st Floor Master Bedroom, Foyer/Entry Hall, Laundry-1st Floor, Living Room, Master Bedroom Bath","Shed","None","","NEW","Albion","","06/26/2015","07/13/2015","","06/26/2015","17","Concrete","","Linoleum/Vinyl, Tile-Some, Wall To Wall Carpet-Some","Carport","Gas","","06/09/2015","Exclusive Right To Sell","0","0","Neighborhood Street"
"1","B478025","S","$290,000","$299,900","$290,000","3800 N Millgrove RD","3.50","2","","2.5","14004","14004","3","2.1","1,914","6","1","2","$119,600","3","Full","Garage Door Opener","Cathedral Ceiling, Ceiling Fan, Sliding Glass Door, Sump Pump","Laundry-2nd Floor","","Crawl Space","","NEW","Alden","$0","09/14/2015","10/02/2015","","07/13/2015","25","Concrete, Stone/Gravel","","Tile-Some, Wall To Wall Carpet-Some","Attached","Gas","","06/18/2015","Exclusive Right To Sell","3","250","Agricultural District, Green Area, Horses Permitted"
"1","B485829","S","$236,500","$219,900","$236,500","2475 Wende RD","1.57","1","","2.0","14004","14004","3","2.0","1,520","8","0","2","$97,750","24","Full","Cable TV Available, Deck, Garage Door Opener, High Speed Internet, Private Yard - see Remarks, Storage","Cathedral Ceiling, Ceiling Fan, Circuit Breakers - Some, Copper Plumbing - Some, Sliding Glass Door, Sump Pump","1st Floor Bedroom, 1st Floor Master Bedroom, Basement / Rec Room, Bonus Room, Foyer/Entry Hall, Laundry-1st Floor, Master Bedroom Bath, Porch - Open","Shed","Crawl Space","","NEW","Alden","$0","11/30/2015","11/30/2015","","09/25/2015","0","Circular, Concrete","","Hardwood-Some, Laminate-Some, Wall To Wall Carpet-Some","Attached","Gas","","09/25/2015","Exclusive Right To Sell","169","593","Primary Road"
"1","B480596","S","$225,000","$239,000","$225,000","484 Creekside DR","0.69","1","","2.0","14004","14004","3","1.1","1,844","10","1","1","$86,950","56","Finished, Full","Cable TV Available, Deck, Garage Door Opener, High Speed Internet, Patio, Thermal Windows - Some","Cathedral Ceiling, Circuit Breakers - Some, Copper Plumbing - Some, Natural Woodwork - some, Sump Pump","1st Floor Bedroom, Basement / Rec Room, Family Room, Laundry-Basement, Living Room, Porch - Open","","Full","","NEW","Alden","$0","10/05/2015","10/13/2015","","08/17/2015","30","Blacktop, Circular","","Hardwood-Some, Linoleum/Vinyl, Wall To Wall Carpet-Some","Attached","Electric, Gas","","07/18/2015","Exclusive Right To Sell","240","125","Corner Lot, Neighborhood Street"
"1","B481296","S","$182,500","$184,900","$182,500","1258 E Laray DR","0.46","1","","2.0","14004","14086","3","1.1","1,512","6","1","1","$71,000","51","Full","Cable TV Available, Garage Door Opener, Patio, Thermal Windows - Some","Circuit Breakers - Some, Copper Plumbing - Some, Sump Pump","Foyer/Entry Hall, Laundry-Basement, Living Room, Porch - Open","","None","","NEW","Alden","$0","10/08/2015","10/15/2015","","07/31/2015","4","Blacktop","","Hardwood-Some, Linoleum/Vinyl","Attached","Gas","","07/27/2015","Exclusive Right To Sell","200","100","Neighborhood Street, Wooded Lot"
"1","B470215","S","$175,000","$170,000","$175,000","11567 Gebhard LN","1.38","1","","3.0","14004","14004","3","1.1","1,718","8","1","1","$80,200","41","Finished, Full","Cable TV Available, Garage Door Opener, Patio, Satellite Dish","Ceiling Fan, Circuit Breakers - Some, Copper Plumbing - Some, Drapes - Some, Natural Woodwork - some, Water Softener - Owned","Family Room, Florida/Sun Room- Heated, Living Room","Shed","Crawl Space, Pull Down Stairs","","NEW","Alden","$0","05/15/2015","05/18/2015","","03/24/2015","6","Blacktop","","Laminate-Some, Tile-Some, Wall To Wall Carpet-Some","2nd Garage, Attached","Gas","","03/18/2015","Exclusive Right To Sell","400","150","Neighborhood Street"
"1","B475279","S","$170,000","$174,900","$170,000","217 Three Rod RD","1.01","1","","2.0","14004","14004","3","1.1","2,040","11","1","1","$55,000","169","Partial","Cable TV Available, Partially Fenced Yard, Patio, Wood Screens/Storms-some","Cedar Closets, Ceiling Fan, Circuit Breakers - Some, Copper Plumbing - Some, Drapes - Some, Freestanding/Window AC, Natural Woodwork - some, Sliding Glass Door","1st Floor Bedroom, 1st Floor Master Bedroom, Family Room, Great Room, Laundry-1st Floor, Living Room, Office","Shed","Partial, Stair Access","","NEW","Alden","$0","08/31/2015","09/28/2015","","06/09/2015","20","Blacktop","","Linoleum/Vinyl, Wall To Wall Carpet-Some","Carport, Detached","Gas","","05/20/2015","Exclusive Right To Sell","210","210","Agricultural District, Flood Zone, Rural Road"
"1","B466902","S","$168,900","$169,900","$168,900","12113 Walden AVE","24.00","2","","2.0","14004","14004","3","1.0","2,256","6","0","1","$72,200","176","Full","Cable TV Available, Deck, Garage Door Opener","Circuit Breakers - Some, Drapes - Some, Skylight, Sliding Glass Door, Sump Pump","1st Floor Bedroom, In-Law - see Remarks, Laundry-1st Floor, Living Room, Porch - Open","","Scuttle Access","","NEW","Alden","$0","06/19/2015","06/23/2015","","02/03/2015","21","Stone/Gravel","","Linoleum/Vinyl, Tile-Some, Wall To Wall Carpet-Some","Detached","Gas","","01/13/2015","Exclusive Right To Sell","0","400","Commercial Zoning"
"1","B486904","S","$160,000","$159,000","$160,000","863 Townline RD","0.50","0","","2.0","14086","","5","2.0","1,568","9","0","2","$138,000","66","Full","Cable TV Available, Deck, Garage Door Opener, Partially Fenced Yard, Playset / Swingset, Pool-In Ground","Circuit Breakers - Some, Copper Plumbing - Some, Drapes - Some","Den/Study","","Crawl Space","","NEW","Alden","$0","12/17/2015","01/07/2016","","10/17/2015","10","Blacktop","","Tile-Some, Wall To Wall Carpet-Some","Attached","Gas, Wood","","10/07/2015","Exclusive Right To Sell","244","100","Agricultural District"
"1","B474533","S","$158,000","$157,900","$158,000","11686 Boncliff DR","0.46","1","","2.0","14004","14004","3","2.0","1,432","7","0","2","$69,900","45","Finished, Full","Deck, Playset / Swingset","Ceiling Fan, Copper Plumbing - Some, Drapes - Some, Sliding Glass Door, Sump Pump","1st Floor Bedroom, Basement / Rec Room, Living Room","","Crawl Space","","NEW","Alden","$2,667","09/09/2015","09/11/2015","","05/20/2015","9","Blacktop","","Hardwood-Some, Linoleum/Vinyl, Wall To Wall Carpet-Some","Attached","Gas","","05/11/2015","Exclusive Right To Sell","200","100","Other - See Remarks"
"1","B470620","S","$157,500","$157,500","$157,500","3592 Crittenden RD","0.91","1","","2.0","14004","14004","3","1.0","1,286","5","0","1","$47,600","51","Full","Cable TV Available, Deck, Hot Tub","Cathedral Ceiling, Ceiling Fan, Circuit Breakers - Some, Copper Plumbing - Some, Hot Tub, Sliding Glass Door","1st Floor Bedroom, 1st Floor Master Bedroom, Great Room, Laundry-Basement","","Crawl Space","","NEW","Alden","$0","07/27/2015","08/07/2015","","04/20/2015","27","Double Wide, Stone/Gravel","","Hardwood-Some, Linoleum/Vinyl, Wall To Wall Carpet-Some","Under House","Gas","","03/24/2015","Exclusive Right To Sell","198","199","Primary Road"
"1","B473532","S","$150,000","$144,900","$150,000","1699 Sandridge RD","1.30","2","","3.5","14004","14004","3","1.0","1,262","6","0","1","$140,000","62","Full, Partially Finished","Awning, Cable TV Available, Garage Door Opener, Patio","Cedar Closets, Copper Plumbing - Some, Drapes - Some, Natural Woodwork - some, Sump Pump","1st Floor Bedroom, 1st Floor Master Bedroom, Laundry-Basement, Living Room, Workshop","Shed","Full, Stair Access, Unfinished","","NEW","Alden","$0","07/24/2015","07/28/2015","","05/11/2015","10","Blacktop","","Ceramic-Some, Hardwood-Some, Tile-Some, Wall To Wall Carpet-Some","Detached","Gas","","05/01/2015","Exclusive Right To Sell","700","80","Neighborhood Street"
"1","B472364","S","$149,000","$149,900","$149,000","668 Creekside DR","0.73","1","","2.0","14004","14004","4","2.0","1,728","13","0","2","$62,100","51","Exterior Walkout","Cable TV Available, Garage Door Opener, High Speed Internet, Storage, Thermal Windows - Some","Circuit Breakers - Some, Copper Plumbing - Some, Dry Bar, Natural Woodwork - some, Other - See Remarks, Sump Pump","Basement / Rec Room, Family Room, Foyer/Entry Hall, Laundry-Basement, Other - See Remarks, Porch - Enclosed, Porch - Open, Workshop","Barn / Outbuilding","Partial","","NEW","Alden","$0","08/14/2015","08/14/2015","","04/26/2015","8","Blacktop","","Tile-Some, Wall To Wall Carpet-Some","Attached","Gas","","04/18/2015","Exclusive Right To Sell","317","100","Flood Zone, Near Bus Line, Neighborhood Street, Secondary Road, Water View"
"1","B468380","S","$148,730","$139,900","$148,730","1527 Town Line RD","2.50","1.3","","3.0","14004","14004","3","1.0","1,852","6","0","1","$49,400","85","Full","Cable TV Available, Deck, Garage Door Opener, Other - See Remarks, Patio, Storage","Circuit Breakers - Some, Copper Plumbing - Some, Drapes - Some, Natural Woodwork - some, Security System - Owned, Sliding Glass Door, Sump Pump","1st Floor Master Bedroom, Florida/Sun Room- Heated, Garage Apartment, Laundry-Basement, Other - See Remarks, Porch - Open, Workshop","Barn / Outbuilding, Shed","Crawl Space","","NEW","Alden","$0","05/26/2015","06/02/2015","","02/14/2015","4","Concrete","","Ceramic-Some, Linoleum/Vinyl, Wall To Wall Carpet-Some","Detached","Gas","","02/10/2015","Exclusive Right To Sell","565","87","Secondary Road"
"1","B478674","S","$146,000","$149,900","$146,000","1183 Greenfield DR","0.95","1","","1.0","14004","14004","3","1.1","1,592","7","1","1","$74,500","49","Full, Partially Finished","Patio","Cathedral Ceiling, Ceiling Fan, Circuit Breakers - Some, Sliding Glass Door","Basement / Rec Room, Family Room, Laundry-1st Floor, Living Room","Shed","Crawl Space, Partial","","NEW","Alden","$0","08/30/2015","09/10/2015","","06/27/2015","2","Circular","","Hardwood-Some, Linoleum/Vinyl","Attached","Gas","","06/25/2015","Exclusive Right To Sell","198","207","Corner Lot, Neighborhood Street"
"1","B480046","S","$145,500","$139,900","$145,500","12260 S Blossom Lea DR","0.45","2","","1.5","14004","14004","3","1.0","1,252","8","0","1","$54,100","36","Finished","Deck, Fully Fenced Yard, Garage Door Opener, High Speed Internet, Hot Tub, Patio, Storage","Other - See Remarks","1st Floor Bedroom, Basement / Rec Room, Bonus Room, Family Room, Laundry-Basement, Porch - Open, Possible Additional Bedroom","Shed","Full, Pull Down Stairs","","NEW","Alden","$0","09/29/2015","09/29/2015","","07/16/2015","3","Blacktop","","Linoleum/Vinyl, Wall To Wall Carpet-Some","Attached","Gas","","07/13/2015","Exclusive Right To Sell","200","100","Neighborhood Street, Primary Road"
"1","B473145","S","$140,500","$140,000","$140,500","12363 S Blossom Lea DR","0.88","1.5","","1.0","14004","14004","4","1.0","1,449","6","0","1","$48,400","51","Crawl Space","Fully Fenced Yard, Garage Door Opener","Ceiling Fan, Circuit Breakers - Some, Copper Plumbing - Some","1st Floor Bedroom, Foyer/Entry Hall, Laundry-1st Floor, Living Room, Porch - Open","Shed","Partial, Unfinished","","NEW","Alden","$0","07/20/2015","08/20/2015","","04/30/2015","3","Blacktop, Double Wide","","Laminate-Some, Wall To Wall Carpet-Some","Attached","Gas","","04/27/2015","Exclusive Right To Sell","385","100","Neighborhood Street"
"1","B477231","S","$138,000","$142,000","$138,000","1048 Four Rod RD","1.03","1","","1.0","14004","14004","3","1.0","1,168","5","0","1","$141,474","58","Full","Cable TV Available, Electric Pet Fence, Garage Door Opener, Patio","Copper Plumbing - Some, Electrical Fuses - some","1st Floor Bedroom, 1st Floor Master Bedroom, Laundry-Basement, Living Room","","Crawl Space","","NEW","Alden","$0","09/25/2015","10/02/2015","","06/29/2015","20","Double Wide, Stone/Gravel","","Hardwood-Some, Laminate-Some, Linoleum/Vinyl","Attached","Gas","","06/09/2015","Exclusive Right To Sell","300","150","Agricultural District"
"1","B469575","S","$136,900","$139,900","$136,900","2207 Townline RD","0.76","1","","2.5","14004","14004","3","1.0","1,344","6","0","1","$62,500","60","Full, Partially Finished","Garage Door Opener, Other - See Remarks","Ceiling Fan, Circuit Breakers - Some, Copper Plumbing - Some, Natural Woodwork - some","1st Floor Bedroom, Basement / Rec Room, Florida/Sun Room- Heated, Foyer/Entry Hall, Laundry-Basement, Living Room, Porch - Open","","Crawl Space, Unfinished","","NEW","Alden","$0","05/29/2015","06/10/2015","","03/20/2015","11","Dirt, Stone/Gravel","","Ceramic-Some, Hardwood-Some, Wall To Wall Carpet-Some, Wood-Some","Attached","Gas","","03/09/2015","Exclusive Right To Sell","333","100","Neighborhood Street, Rural Road"
"1","B469307","S","$136,000","$139,900","$136,000","2133 Town Line RD","0.69","1","","1.0","14004","14004","2","1.0","1,150","5","0","1","$48,400","55","Full","Garage Door Opener, Patio","Ceiling Fan, Circuit Breakers - Some, Sliding Glass Door, Sump Pump","Family Room, Living Room","Shed","None","","NEW","Alden","$0","05/21/2015","06/03/2015","","03/06/2015","3","Blacktop","","Ceramic-Some, Laminate-Some","Attached","Gas","","03/03/2015","Exclusive Right To Sell","300","96","Other - See Remarks"
"1","B466376","S","$135,680","$129,900","$135,680","1078 Clearvue DR","0.52","1.5","","2.0","14004","14004","4","1.0","1,596","9","0","1","$54,200","60","Crawl Space","Deck, Garage Door Opener, High Speed Internet, Patio, Pool-Above Ground, Private Yard - see Remarks, Storage","Ceiling Fan, Circuit Breakers - Some","1st Floor Bedroom, Laundry-1st Floor","Barn / Outbuilding, Shed","Crawl Space","","NEW","Alden","$0","03/06/2015","03/06/2015","","01/15/2015","12","Concrete","","Laminate-Some, Wall To Wall Carpet-Some","2nd Garage, Attached","Gas, Wood","","01/03/2015","Exclusive Right To Sell","228","100","Neighborhood Street, Primary Road"
"1","B480535","S","$135,000","$129,900","$135,000","2206 County Line RD","13.11","2","","0.0","14004","14004","3","1.1","1,856","10","1","1","$64,800","115","Full","High Speed Internet, Storage","Ceiling Fan, Circuit Breakers - Some, Copper Plumbing - Some, Sump Pump","Foyer/Entry Hall, Laundry-1st Floor, Porch - Open","Barn / Outbuilding","Crawl Space","","NEW","Alden","$0","10/15/2015","10/16/2015","","07/21/2015","4","Stone/Gravel","","Hardwood-Some","No Garage","Gas","","07/17/2015","Exclusive Right To Sell","0","215","Primary Road"
"1","B478101","S","$125,000","$119,900","$125,000","11085 Jane DR","0.51","1","","1.5","14004","14086","3","1.0","1,164","6","0","1","$57,000","50","Full","Cable TV Available, High Speed Internet, Private Yard - see Remarks, Storage","Ceiling Fan, Circuit Breakers - Some, Copper Plumbing - Some, Sump Pump","1st Floor Bedroom, Basement / Rec Room, Laundry-Basement, Porch - Enclosed","","Crawl Space","","NEW","Alden","$0","09/28/2015","09/28/2015","","07/17/2015","28","Blacktop","","Hardwood-Some, Laminate-Some, Wall To Wall Carpet-Some","Attached","Gas","","06/19/2015","Exclusive Right To Sell","205","110","Neighborhood Street"
"1","B473422","S","$123,000","$119,900","$123,000","2625 Peters Corners RD","0.71","1","","2.5","14004","14004","3","1.0","1,008","7","0","1","$59,800","42","Full, Partially Finished","Cable TV Available, Garage Door Opener, Patio, Private Yard - see Remarks, Storage","Ceiling Fan, Circuit Breakers - Some, Copper Plumbing - Some, Sliding Glass Door, Sump Pump","1st Floor Bedroom, Basement / Rec Room, Laundry-Basement","Shed","Crawl Space","","NEW","Alden","$0","08/12/2015","08/12/2015","","05/04/2015","5","Blacktop","","Ceramic-Some, Laminate-Some, Wall To Wall Carpet-Some","Attached","Gas","","04/29/2015","Exclusive Right To Sell","310","100","Primary Road"
"1","B473862","S","$103,400","$99,900","$103,400","3629 Crittenden RD","0.54","2","","1.0","14004","14004","3","1.0","1,170","6","0","1","$49,100","115","Full","Cable TV Available, Deck, Partially Fenced Yard, Private Yard - see Remarks, Storage","Ceiling Fan, Circuit Breakers - Some, Copper Plumbing - Some, Water Softener - Owned","1st Floor Bedroom, Laundry-Basement, Porch - Open","Shed","Crawl Space","","NEW","Alden","$0","09/17/2015","09/21/2015","","05/05/2015","0","Blacktop","","Ceramic-Some, Laminate-Some","Detached","Gas, Wood","","05/05/2015","Exclusive Right To Sell","384","62","Near Bus Line, Primary Road"
"1","B482159","S","$100,000","$99,900","$100,000","1165 Sandridge RD","0.50","2","","2.0","14004","14004","4","1.1","1,596","10","1","1","$54,000","140","Full","Cable TV Available, Garage Door Opener, Private Yard - see Remarks, Storage","Ceiling Fan","1st Floor Bedroom, Bonus Room, Foyer/Entry Hall, Laundry-1st Floor","Shed","Crawl Space","","NEW","Alden","$0","11/10/2015","11/11/2015","","08/06/2015","0","Blacktop","","Laminate-Some, Wall To Wall Carpet-Some","Attached","Gas","","08/06/2015","Exclusive Right To Sell","183","120","Primary Road"
"1","B463505","S","$92,000","$99,900","$92,000","417 Two Rod RD","0.78","2","","0.0","14004","14004","3","1.0","1,368","7","0","1","$35,300","154","Partial","Cable TV Available, Deck, Electric Pet Fence, Pool-Above Ground","Cathedral Ceiling, Ceiling Fan, Circuit Breakers - Some, Copper Plumbing - Some, Skylight, Sump Pump","1st Floor Bedroom, Laundry-1st Floor, Living Room","Shed","Crawl Space","","NEW","Alden","$0","02/25/2015","02/26/2015","","11/14/2014","21","Stone/Gravel","","Ceramic-Some, Laminate-Some, Linoleum/Vinyl, Wall To Wall Carpet-Some","No Garage","Gas","","10/24/2014","Exclusive Right To Sell","260","130","Agricultural District, Wooded Lot"
"1","B464291","S","$55,555","$61,000","$55,555","11170 Broadway ST","0.37","1.3","","1.0","14004","","4","1.0","1,071","7","0","1","$42,000","88","Full","Other - See Remarks","Copper Plumbing - Some, Natural Woodwork - some","1st Floor Bedroom, Living Room","","Crawl Space","","NEW","Alden","$504","02/27/2015","03/02/2015","","12/05/2014","30","Blacktop","","Hardwood-Some, Linoleum/Vinyl, Wall To Wall Carpet-Some","Detached","Gas","","11/05/2014","Exclusive Right To Sell","231","70","Agricultural District"
"1","B467582","S","$176,000","$194,900","$176,000","1707 Baxter","1.77","0","","2.0","14004","","6","2.1","3,206","13","1","2","$94,900","57","Exterior Walkout","Cable TV Available, Garage Door Opener","Other - See Remarks","1st Floor Master Bedroom, Basement / Rec Room, Den/Study","","Crawl Space","02/29/2016","NEW","Alden","$1,376","03/15/2015","02/29/2016","","02/14/2015","18","Blacktop, Circular, Concrete","","Linoleum/Vinyl, Wall To Wall Carpet-Some","Attached","Gas","","01/27/2015","Exclusive Right To Sell","200","316","Other - See Remarks, Water View"
"1","B468958","S","$154,500","$159,900","$154,500","1720 Willow Woods","0.41","1.5","","2.0","14004","14004","3","2.1","1,768","10","1","2","$94,950","24","Finished","Cable TV Available, Deck, Fully Fenced Yard, Garage Door Opener, Hot Tub, Pool-Above Ground","Circuit Breakers - Some, Copper Plumbing - Some, Indoor Pool, Natural Woodwork - some, Sliding Glass Door, Sump Pump","1st Floor Master Bedroom, Basement / Rec Room, Laundry-Basement","Shed","Crawl Space","","NEW","Alden","$1,388","04/10/2015","04/29/2015","","02/25/2015","0","Blacktop","","Linoleum/Vinyl, Wall To Wall Carpet-Some","Attached","Gas","","02/25/2015","Exclusive Right To Sell","180","100","Neighborhood Street"
